positive,anchor,negative
obra social nossa senhora da gloria  fazenda da esperanca - sao rafael,fazenda da esperanca,mitra arquidiocesana de sao paulo - paroquia nossa senhora do carmo
obra social nossa senhora da gloria  fazenda da esperanca - sao rafael,fazenda da esperanca,obra social nossa senhora da gloria  fazenda da esperanca - fazenda da esperanca sao peregrino
obra social nossa senhora da gloria  fazenda da esperanca - sao rafael,fazenda da esperanca,mitra da arquidiocese de curitiba - paroquia nossa senhora da piedade
intervidros comercial ltda - vintage vidros,intervidros,camir parafusos ltda - camir parafusos
intervidros comercial ltda - vintage vidros,intervidros,rc soave comercio de tintas ltda - poli tintas
intervidros comercial ltda - vintage vidros,intervidros,delicias do rj ltda - delicias do rio
banco bradesco sa - bradesco ag curicica,banco bradesco,banco bradesco sa - bradesco ag marques de caravelas est unif
banco bradesco sa - bradesco ag curicica,banco bradesco,banco bradesco sa - bradesco ag aracruz
banco bradesco sa - bradesco ag curicica,banco bradesco,banco bradesco sa - bradesco ag cascavel
drogal farmaceutica ltda - drogal tambau,drogal farmaseutica,drogal farmaceutica ltda - drogal
drogal farmaceutica ltda - drogal tambau,drogal farmaseutica,drogal farmaceutica ltda - drogal santa barbara iii
drogal farmaceutica ltda - drogal tambau,drogal farmaseutica,drogal farmaceutica ltda - drogal botucatu vii
fundo municipal da crianca e do adolescente  fia - fia,adolescente fia,fundo municipal dos direitos da pessoa idosa - fundo municipal do idoso de pequi mg
fundo municipal da crianca e do adolescente  fia - fia,adolescente fia,crbs sa - cdd foz do iguacu
fundo municipal da crianca e do adolescente  fia - fia,adolescente fia,banco bradesco sa - bradesco ag livramento de nossa senhora est unif
raven participacoes sa - raven participacoes,raben part,falcon empreendimentos e participacoes ltda - falcon
raven participacoes sa - raven participacoes,raben part,allpark empreendimentos participacoes e servicos sa - columbus
raven participacoes sa - raven participacoes,raben part,gspar participacoes ltda - gspar participacoes
allpark empreendimentos participacoes e servicos sa - hosp ana costa,hospital ana c,azenha empreendimentos imobiliarios ltda - azenha empreendimentos imobiliarios
allpark empreendimentos participacoes e servicos sa - hosp ana costa,hospital ana c,allpark empreendimentos participacoes e servicos sa - ed com merit office  mall
allpark empreendimentos participacoes e servicos sa - hosp ana costa,hospital ana c,goiacom comercio distribuicao e servicos ltda - goiacom
bolognesi empreendimentos ltda - chacara das rosas ii ccr2062  lote 05 quadra b2,xacara das rosas,jth construcoes ltda - jth construcoes
bolognesi empreendimentos ltda - chacara das rosas ii ccr2062  lote 05 quadra b2,xacara das rosas,petrolini e freitas empreendimentos spe ltda - petrolini e freitas
bolognesi empreendimentos ltda - chacara das rosas ii ccr2062  lote 05 quadra b2,xacara das rosas,rjb empreendimentos e participacoes ltda - jbr empreendimentos e participacoes
tapajos comercio de medicamentos ltda - drogarias santo remedio  adrianopolis,drogas adrianopolis,comercio de medicamentos brair ltda - saojoao farmacias
tapajos comercio de medicamentos ltda - drogarias santo remedio  adrianopolis,drogas adrianopolis,goiacom comercio distribuicao e servicos ltda - goiacom
tapajos comercio de medicamentos ltda - drogarias santo remedio  adrianopolis,drogas adrianopolis,forte graos e cereais ltda - forte graos e cereais
banco santander brasil sa - select icarainiteroirj,select i,banco bradesco sa - bradesco ag itapeva
banco santander brasil sa - select icarainiteroirj,select i,banco bradesco sa - ag itaberai
banco santander brasil sa - select icarainiteroirj,select i,bmo financial consulting ltda - bmo financial consulting
banco bradesco sa - bradesco paa catuti mg,banco bradesco,banco bradesco sa - bradesco paa sucupira do norte ma
banco bradesco sa - bradesco paa catuti mg,banco bradesco,banco bradesco sa - bradesco paa itamarati de minas mg
banco bradesco sa - bradesco paa catuti mg,banco bradesco,banco bradesco sa - bradesco ag sao jose da tapera al
fleury sa - clinica luiz felippe mattoso,fleuri,banco bradesco sa - bradesco ag prime sao cristovao est unif
fleury sa - clinica luiz felippe mattoso,fleuri,banco do estado do rio grande do sul sa - agencia sao martinho da serra
fleury sa - clinica luiz felippe mattoso,fleuri,banco santander brasil sa - j bonifacioitapirasp
banco bradesco sa - bradesco paa mansidao ba,bradesco,banco bradesco sa - bradesco paa sucupira do norte ma
banco bradesco sa - bradesco paa mansidao ba,bradesco,banco bradesco sa - bradesco paa rafael fernandes rn
banco bradesco sa - bradesco paa mansidao ba,bradesco,banco bradesco sa - bradesco ag cidade de deus est unif
uniao central brasileira da igreja adventista do setimo dia - iasd andradina  centro,uniao igreja,uniao central brasileira da igreja adventista do setimo dia - iasd itirapina itirapina
uniao central brasileira da igreja adventista do setimo dia - iasd andradina  centro,uniao igreja,uniao central brasileira da igreja adventista do setimo dia - iasd franca  bairro angela rosa
uniao central brasileira da igreja adventista do setimo dia - iasd andradina  centro,uniao igreja,uniao central brasileira da igreja adventista do setimo dia - iasd guariba  guariba
banco santander brasil sa - serra de bragancacapsp,santander braganca,banco bradesco sa - bradesco ag miracema do tocantins
banco santander brasil sa - serra de bragancacapsp,santander braganca,associacao atletica banco do brasil - aabb
banco santander brasil sa - serra de bragancacapsp,santander braganca,banco santander brasil sa - agencia rio das ostras
fazendas reunidas pilon sa - sitio coelho,sitio coeio,banco bradesco sa - bradesco pa lagoa de sao francisco pi
fazendas reunidas pilon sa - sitio coelho,sitio coeio,bolognesi empreendimentos ltda - cond fazenda esperanca 373 campo belo vi lt 1a q l01
fazendas reunidas pilon sa - sitio coelho,sitio coeio,bolognesi empreendimentos ltda - cond fazenda esperanca 187 campo belo iii lt 06 q g1
condominio residencial bela vista - residencial bela vista,residensial bista,residencial bela vista - residencial bela vista
condominio residencial bela vista - residencial bela vista,residensial bista,condominio residencial salesopolis - condominio residencial salesopolis
condominio residencial bela vista - residencial bela vista,residensial bista,bolognesi empreendimentos ltda - condominio residencial moradas do bosque 939
marnivelado desenvolvimento de software ltda - marnivelado,marnibelado,m s s de campos terraplanagem - v a da silva terraplanagem
marnivelado desenvolvimento de software ltda - marnivelado,marnibelado,pbkids brinquedos ltda - pbkids brinquedos
marnivelado desenvolvimento de software ltda - marnivelado,marnibelado,super mercado sao roque ltda - supermercado sao roque ltda
spe terral 152 go empreendimentos imobiliarios ltda - spe terral 152 go empreendimentos imobiliarios,spe terral,construir 35 empreendimentos imobiliarios sa - construir 35
spe terral 152 go empreendimentos imobiliarios ltda - spe terral 152 go empreendimentos imobiliarios,spe terral,invicto calcados e acessorios ltda - invicto calcados e acessorios
spe terral 152 go empreendimentos imobiliarios ltda - spe terral 152 go empreendimentos imobiliarios,spe terral,rjb empreendimentos e participacoes ltda - jbr empreendimentos e participacoes
secretaria de agricultura e abastecimento - dsmmnucleo de producao de mudas de presidente prudente,nucleo de producao,senat servico nacional de aprendizagem do transporte - senat campo grandems  oswaldo possari  unidade b 32
secretaria de agricultura e abastecimento - dsmmnucleo de producao de mudas de presidente prudente,nucleo de producao,m s s de campos terraplanagem - v a da silva terraplanagem
secretaria de agricultura e abastecimento - dsmmnucleo de producao de mudas de presidente prudente,nucleo de producao,igreja evangelica assembleia de deus - igreja evangelica assembleia de deusbairro saramandaia
banco bradesco sa - bradesco ag jundiai est unif,bradesco jundiai,banco bradesco sa - agencia empresas aracatuba  urb aracatuba sp
banco bradesco sa - bradesco ag jundiai est unif,bradesco jundiai,banco bradesco sa - bradesco ag minacu est unif
banco bradesco sa - bradesco ag jundiai est unif,bradesco jundiai,banco bradesco sa - bradesco ag itapetininga est unif
comercial de alimentos serpa ltda - comercial de alimentos serpa,serpa,forte graos e cereais ltda - forte graos e cereais
comercial de alimentos serpa ltda - comercial de alimentos serpa,serpa,acb comercio de produtos de bemestar ltda - bloomx
comercial de alimentos serpa ltda - comercial de alimentos serpa,serpa,acqua mania comercio de bebidas ltda - confeccao inez
jbc holding participacoes ltda - jbc participacoes,jbc hldg,coelho construcoes limitada - coelho construcoes
jbc holding participacoes ltda - jbc participacoes,jbc hldg,drogaria sao paulo sa - drogaria sao paulo
jbc holding participacoes ltda - jbc participacoes,jbc hldg,drogaria sao paulo sa - drogaria sao paulo sa
uniao central brasileira da igreja adventista do setimo dia - iasd bauru  presidente ernesto geisel,bauru igreja adbentista,uniao central brasileira da igreja adventista do setimo dia - iasd itirapina itirapina
uniao central brasileira da igreja adventista do setimo dia - iasd bauru  presidente ernesto geisel,bauru igreja adbentista,uniao central brasileira da igreja adventista do setimo dia - iasd franca  bairro angela rosa
uniao central brasileira da igreja adventista do setimo dia - iasd bauru  presidente ernesto geisel,bauru igreja adbentista,uniao central brasileira da igreja adventista do setimo dia - iasd guariba  guariba
fundo municipal de direitos do idoso - fmi,f. munisipal idoso,fundo municipal de direitos do idoso - fundo do idoso de marques de souza
fundo municipal de direitos do idoso - fmi,f. munisipal idoso,fundo municipal de direitos do idoso - fmdi
fundo municipal de direitos do idoso - fmi,f. munisipal idoso,associacao dos filhos e amigos dos idosos - afai
soft administration ltda - soft administration,soft admnistration,maxservice comercio e servicos ltda - maxservice comercio e servicos ltda
soft administration ltda - soft administration,soft admnistration,pgm engenharia e servicos ltda - vmeq consultoria e servicos de engenharia
soft administration ltda - soft administration,soft admnistration,fernandes marketing digital ltda - fernandes marketing digital
banco bradesco sa - bradesco pa manga mg,bredesco,banco bradesco sa - bradesco pa  itapaci go
banco bradesco sa - bradesco pa manga mg,bredesco,banco bradesco sa - bradesco pa boqueirao  urb santos sp
banco bradesco sa - bradesco pa manga mg,bredesco,banco bradesco sa - bradesco pa diamante do norte pr
augusta e respeitavel loja simbolica guardioes de jerusalem - augusta e respeitavel loja simbolica guardioes de jerus,respeitabel loja,uniao central brasileira da igreja adventista do setimo dia - iasd mirandopolis  centro
augusta e respeitavel loja simbolica guardioes de jerusalem - augusta e respeitavel loja simbolica guardioes de jerus,respeitabel loja,uniao central brasileira da igreja adventista do setimo dia - iasd itapetininga  jardim casa grande
augusta e respeitavel loja simbolica guardioes de jerusalem - augusta e respeitavel loja simbolica guardioes de jerus,respeitabel loja,uniao central brasileira da igreja adventista do setimo dia - iasd itirapina itirapina
kgm comercio e representacao de produtos agropecuarios ltda - produza produtos agropecuarios,kgm agropecuarios,ares empreendimentos imobiliarios ltda - ares empreendimentos imobiliarios
kgm comercio e representacao de produtos agropecuarios ltda - produza produtos agropecuarios,kgm agropecuarios,invicto calcados e acessorios ltda - invicto calcados e acessorios
kgm comercio e representacao de produtos agropecuarios ltda - produza produtos agropecuarios,kgm agropecuarios,bumo distribuidora de produtos e equipamentos de limpeza ltda - bumo distribuidora de produtos e equipamentos
banco bradesco sa - bradesco ag breves pa,bradesco pa,banco bradesco sa - bradesco ag prime parque da aclimacao
banco bradesco sa - bradesco ag breves pa,bradesco pa,banco bradesco sa - bradesco ag prime barao de itapura
banco bradesco sa - bradesco ag breves pa,bradesco pa,banco bradesco sa - bradesco ag marques de caravelas est unif
cooperativa de credito poupanca e investimento conexao - unidade de atendimento frederico westphalen fatima,unidade frederico west,cooperativa de credito poupanca e investimento centro sul  sicredi centro sul prscrj - unidade de atendimento de itaperuna
cooperativa de credito poupanca e investimento conexao - unidade de atendimento frederico westphalen fatima,unidade frederico west,azenha empreendimentos imobiliarios ltda - azenha empreendimentos imobiliarios
cooperativa de credito poupanca e investimento conexao - unidade de atendimento frederico westphalen fatima,unidade frederico west,petrolini e freitas empreendimentos spe ltda - petrolini e freitas
centra do ecomerce outlet ltda - centra do ecomerce outlet,sentra outlet,azenha empreendimentos imobiliarios ltda - azenha empreendimentos imobiliarios
